,Rank,Country,Name,Publisher,Category,Rating,Price,Rating_count,Date
0,1,Pakistan,KMPlayer+ Divx Codec,"PANDORATV Co.,Ltd",Entertainment,3.0,1.0,2,2024-12-30
1,2,Pakistan,Black Light Vision,CobbySoft Media Inc.,Entertainment,0.0,1.0,0,2024-12-30
2,3,Pakistan,ARGun2018,"ShenZhen Lenze Technology Co,.Ltd.",Entertainment,0.0,300.0,0,2024-12-30
3,4,Pakistan,Akinator VIP,Elokence,Entertainment,3.5,1.0,2,2024-12-30
4,5,Pakistan,Blower,Qneo,Entertainment,4.25,500.0,8,2024-12-30
5,6,Pakistan,AVPlayer,EPLAYWORKS,Entertainment,5.0,900.0,2,2024-12-30
6,7,Pakistan,Pocket God,Bolt Creative,Entertainment,5.0,300.0,1,2024-12-30
7,8,Pakistan,737 Flight Simulator,Justyna Zablocka,Entertainment,0.0,500.0,0,2024-12-30
8,9,Pakistan,VLC Streamer Pro,Hobbyist Software Limited,Entertainment,4.5,2.0,2,2024-12-30
9,10,Pakistan,Let's create! Pottery HD,Infinite Dreams Inc.,Entertainment,4.88,1.0,8,2024-12-30
10,11,Pakistan,OPlayer - video player,"Suzhou Totoro Network Technology Co., Ltd.",Entertainment,5.0,900.0,4,2024-12-30
11,12,Pakistan,GoodPlayer,"Wuhan TrustComputing IT Co., Ltd.",Entertainment,5.0,900.0,1,2024-12-30
12,13,Pakistan,Bubbles,Jesse Grosjean,Entertainment,4.0,300.0,1,2024-12-30
13,14,Pakistan,Sexy Maria,LET Software ApS,Entertainment,1.0,300.0,1,2024-12-30
14,15,Pakistan,Baldify - Go Bald,Apptly LLC,Entertainment,4.11,300.0,9,2024-12-30
15,16,Pakistan,Tv-Box,Ahmet Kiremitci,Entertainment,0.0,1.0,0,2024-12-30
16,17,Pakistan,Fart Sounds,Arsosa Network Inc.,Entertainment,2.5,500.0,2,2024-12-30
17,18,Pakistan,Youtify + for Spotify Premium,"KISSAPP, S.L.",Entertainment,4.3,500.0,10,2024-12-30
