,Rank,Country,Name,Publisher,Category,Rating,Price,Rating_count,Date
0,1,Tunisia,Akinator VIP,Elokence,Entertainment,5.0,3.99,1,2024-12-30
1,2,Tunisia,Fish Fingers! 3D Interactive Aquarium,Useless Creations Pty Ltd,Entertainment,0.0,0.99,0,2024-12-30
2,3,Tunisia,737 Flight Simulator,Justyna Zablocka,Entertainment,0.0,1.99,0,2024-12-30
3,4,Tunisia,VLC Streamer Pro,Hobbyist Software Limited,Entertainment,4.0,7.99,1,2024-12-30
4,5,Tunisia,OPlayer - video player,"Suzhou Totoro Network Technology Co., Ltd.",Entertainment,1.0,2.99,1,2024-12-30
5,6,Tunisia,Blower,Qneo,Entertainment,0.0,1.99,0,2024-12-30
6,7,Tunisia,VLC Remote Pro!,Hobbyist Software Limited,Entertainment,0.0,19.99,0,2024-12-30
7,8,Tunisia,iDoser Premium,I-Doser.com,Entertainment,0.0,4.99,0,2024-12-30
8,9,Tunisia,Youtify + for Spotify Premium,"KISSAPP, S.L.",Entertainment,0.0,1.99,0,2024-12-30
9,10,Tunisia,Little Kitten-Kids Pet Cat Sim,Squeakosaurus ug & co. kg,Entertainment,4.5,5.99,2,2024-12-30
10,11,Tunisia,Tv-Box,Ahmet Kiremitci,Entertainment,0.0,5.99,0,2024-12-30
11,12,Tunisia,Baldify - Go Bald,Apptly LLC,Entertainment,5.0,0.99,1,2024-12-30
12,13,Tunisia,Let's create! Pottery HD,Infinite Dreams Inc.,Entertainment,0.0,4.99,0,2024-12-30
13,14,Tunisia,1500 Ringtones Unlimited - Download the best iPhone Ringtones,Mobgen Apps Inc,Entertainment,0.0,0.99,0,2024-12-30
14,15,Tunisia,iFart - Fart Sounds App,"InfoMedia, Inc.",Entertainment,0.0,1.99,0,2024-12-30
15,16,Tunisia,Oldify - Old Face App,Apptly LLC,Entertainment,5.0,0.99,1,2024-12-30
16,17,Tunisia,Beardify - Beard Photo Booth,Apptly LLC,Entertainment,0.0,0.99,0,2024-12-30
17,18,Tunisia,EyeTV,"SHENZHEN GENIATECH INC.,LTD",Entertainment,0.0,4.99,0,2024-12-30
18,19,Tunisia,GSE SMART IPTV PRO,droidvision,Entertainment,0.0,2.99,0,2024-12-30
