,Rank,Country,Name,Publisher,Category,Rating,Price,Rating_count,Date
0,1,Estonia,Countdown App,Ryan Boyling,Entertainment,2.99,0.99,76,2024-12-30
1,2,Estonia,8 Nights,Jonathan Judelson,Entertainment,0.0,0.99,0,2024-12-30
2,3,Estonia,Усыпляющая аудиосказка для сна,Julia Shlepanova,Entertainment,0.0,2.99,0,2024-12-30
3,4,Estonia,Oldify - Old Face App,Apptly LLC,Entertainment,4.25,0.99,4,2024-12-30
4,5,Estonia,Pocket God,Bolt Creative,Entertainment,5.0,0.99,1,2024-12-30
5,6,Estonia,AVPlayer,EPLAYWORKS,Entertainment,5.0,2.99,3,2024-12-30
6,7,Estonia,Akinator VIP,Elokence,Entertainment,5.0,3.99,2,2024-12-30
7,8,Estonia,Little Kitten My Pet Kitty Cat,Squeakosaurus ug & co. kg,Entertainment,4.3,6.99,10,2024-12-30
8,9,Estonia,VLC Remote Pro!,Hobbyist Software Limited,Entertainment,5.0,22.99,6,2024-12-30
9,10,Estonia,EyeTV,"SHENZHEN GENIATECH INC.,LTD",Entertainment,5.0,5.99,1,2024-12-30
10,11,Estonia,VLC Streamer Pro,Hobbyist Software Limited,Entertainment,4.8,8.99,5,2024-12-30
11,12,Estonia,Blower,Qneo,Entertainment,5.0,1.99,6,2024-12-30
12,13,Estonia,GoodPlayer,"Wuhan TrustComputing IT Co., Ltd.",Entertainment,1.0,2.99,1,2024-12-30
13,14,Estonia,"Popcorn - Movies, TV Series",Danilo Oliveira,Entertainment,1.0,3.99,5,2024-12-30
14,15,Estonia,Let's create! Pottery HD,Infinite Dreams Inc.,Entertainment,5.0,5.99,3,2024-12-30
15,16,Estonia,OPlayer - video player,"Suzhou Totoro Network Technology Co., Ltd.",Entertainment,4.0,2.99,4,2024-12-30
16,17,Estonia,Toca Hair Salon Me,Toca Boca AB,Entertainment,0.0,5.99,0,2024-12-30
17,18,Estonia,Youtify + for Spotify Premium,"KISSAPP, S.L.",Entertainment,5.0,1.99,2,2024-12-30
18,19,Estonia,Little Kitten Adventure Games,Squeakosaurus ug & co. kg,Entertainment,5.0,6.99,3,2024-12-30
19,20,Estonia,737 Flight Simulator,Justyna Zablocka,Entertainment,3.0,1.99,1,2024-12-30
20,21,Estonia,Die With Me,Dries Depoorter,Entertainment,0.0,0.99,0,2024-12-30
21,22,Estonia,Hue Disco,iMakeStuff,Entertainment,0.0,5.99,0,2024-12-30
22,23,Estonia,Cleverbot,Icogno Ltd,Entertainment,0.0,0.99,0,2024-12-30
23,24,Estonia,Baldify - Go Bald,Apptly LLC,Entertainment,0.0,0.99,0,2024-12-30
24,25,Estonia,Календарь праздников,Buzzworthy Vibe Co.,Entertainment,0.0,2.99,0,2024-12-30
25,1,Estonia,Little Kitten My Pet Kitty Cat,Squeakosaurus ug & co. kg,Entertainment,4.3,6.99,10,2024-12-31
26,2,Estonia,Little Kitten App Bundle for Kids! (3 apps),Squeakosaurus ug & co. kg,Entertainment,5.0,14.99,1,2024-12-31
27,3,Estonia,Countdown App,Ryan Boyling,Entertainment,2.99,0.99,76,2024-12-31
28,4,Estonia,8 Nights,Jonathan Judelson,Entertainment,0.0,0.99,0,2024-12-31
29,5,Estonia,Oldify - Old Face App,Apptly LLC,Entertainment,4.25,0.99,4,2024-12-31
30,6,Estonia,Pocket God,Bolt Creative,Entertainment,5.0,0.99,1,2024-12-31
31,7,Estonia,AVPlayer,EPLAYWORKS,Entertainment,5.0,2.99,3,2024-12-31
32,8,Estonia,Akinator VIP,Elokence,Entertainment,5.0,3.99,2,2024-12-31
33,9,Estonia,VLC Remote Pro!,Hobbyist Software Limited,Entertainment,5.0,22.99,6,2024-12-31
34,10,Estonia,EyeTV,"SHENZHEN GENIATECH INC.,LTD",Entertainment,5.0,5.99,1,2024-12-31
35,11,Estonia,VLC Streamer Pro,Hobbyist Software Limited,Entertainment,4.8,8.99,5,2024-12-31
36,12,Estonia,Blower,Qneo,Entertainment,5.0,1.99,6,2024-12-31
37,13,Estonia,GoodPlayer,"Wuhan TrustComputing IT Co., Ltd.",Entertainment,1.0,2.99,1,2024-12-31
38,14,Estonia,"Popcorn - Movies, TV Series",Danilo Oliveira,Entertainment,1.0,3.99,5,2024-12-31
39,15,Estonia,Let's create! Pottery HD,Infinite Dreams Inc.,Entertainment,5.0,5.99,3,2024-12-31
40,16,Estonia,OPlayer - video player,"Suzhou Totoro Network Technology Co., Ltd.",Entertainment,4.0,2.99,4,2024-12-31
41,17,Estonia,Toca Hair Salon Me,Toca Boca AB,Entertainment,0.0,5.99,0,2024-12-31
42,18,Estonia,Youtify + for Spotify Premium,"KISSAPP, S.L.",Entertainment,5.0,1.99,2,2024-12-31
43,19,Estonia,Little Kitten Adventure Games,Squeakosaurus ug & co. kg,Entertainment,5.0,6.99,3,2024-12-31
44,20,Estonia,737 Flight Simulator,Justyna Zablocka,Entertainment,3.0,1.99,1,2024-12-31
45,21,Estonia,Die With Me,Dries Depoorter,Entertainment,0.0,0.99,0,2024-12-31
46,22,Estonia,Hue Disco,iMakeStuff,Entertainment,0.0,5.99,0,2024-12-31
47,23,Estonia,Cleverbot,Icogno Ltd,Entertainment,0.0,0.99,0,2024-12-31
