,Rank,Country,Name,Publisher,Category,Rating,Price,Rating_count,Date
0,1,India,Sticker Babai: Telugu Stickers,tarun kurapati,Entertainment,3.8,99.0,20,2024-12-30
1,2,India,CandyCall - AI Prank Calls,Converse Labs,Entertainment,4.38,99.0,37,2024-12-30
2,3,India,iSTB,Nihal Ahmed,Entertainment,4.57,1.0,47,2024-12-30
3,4,India,Countdown App,Ryan Boyling,Entertainment,2.27,99.0,94,2024-12-30
4,5,India,StbEmuTV (Pro),Junaid Muhammad,Entertainment,2.69,999.0,13,2024-12-30
5,6,India,Irusu VR Player - Movie Player,Irusu Technologies Private Limited,Entertainment,2.6,199.0,5,2024-12-30
6,7,India,Universe Splitter,Aerfish LLC,Entertainment,4.22,199.0,18,2024-12-30
7,8,India,DNA Transform!,Joao Gabriel Menezes,Entertainment,4.14,299.0,7,2024-12-30
8,9,India,Cool Themes & Wallpapers,伟巍 杜,Entertainment,5.0,99.0,2,2024-12-30
9,10,India,AR Spiders & Co: Scare friends,Linda Schnetzinger,Entertainment,4.33,299.0,3,2024-12-30
10,11,India,nPlayer,Newin Inc.,Entertainment,4.29,499.0,127,2024-12-30
11,12,India,GSE SMART IPTV PRO,droidvision,Entertainment,2.4,299.0,5,2024-12-30
12,13,India,Sexy Maria,LET Software ApS,Entertainment,2.0,99.0,2,2024-12-30
13,14,India,WebFX,Marc Kerstein,Entertainment,4.53,799.0,15,2024-12-30
14,15,India,Play: Save Videos Watch Later,Loop Apps LTDA,Entertainment,4.33,299.0,6,2024-12-30
15,16,India,Audio Joiner: Merge & Recorder,Lien Hoang,Entertainment,4.67,499.0,15,2024-12-30
16,17,India,Vidi · Media Center,Plata o Plomo AB,Entertainment,3.5,499.0,4,2024-12-30
17,18,India,Cleverbot,Icogno Ltd,Entertainment,2.5,99.0,4,2024-12-30
18,19,India,My Tarot Deck,Jabatoba AB,Entertainment,0.0,499.0,0,2024-12-30
19,20,India,Human Benchmarks - Brain Test,爽 朱,Entertainment,0.0,99.0,0,2024-12-30
20,21,India,Youtify + for Spotify Premium,"KISSAPP, S.L.",Entertainment,4.4,199.0,40,2024-12-30
21,22,India,Special Mic,Sebastien BUET,Entertainment,0.0,199.0,0,2024-12-30
22,23,India,Aquarium Live HD+,Voros Innovation,Entertainment,5.0,399.0,1,2024-12-30
23,24,India,पेशेवर पासा,Lukas Lubbe,Entertainment,5.0,199.0,1,2024-12-30
24,25,India,AVPlayer,EPLAYWORKS,Entertainment,3.68,299.0,25,2024-12-30
25,1,India,Sticker Babai: Telugu Stickers,tarun kurapati,Entertainment,3.8,99.0,20,2024-12-31
26,2,India,Digital Force Bag,Craig Squires,Entertainment,3.67,4.0,3,2024-12-31
27,3,India,Countdown App,Ryan Boyling,Entertainment,2.27,99.0,94,2024-12-31
28,4,India,StbEmuTV (Pro),Junaid Muhammad,Entertainment,2.69,999.0,13,2024-12-31
29,5,India,Cleverbot,Icogno Ltd,Entertainment,2.5,99.0,4,2024-12-31
30,6,India,Youtify + for Spotify Premium,"KISSAPP, S.L.",Entertainment,4.4,199.0,40,2024-12-31
31,7,India,Strange Planet Stickers,"KED, LLC",Entertainment,0.0,199.0,0,2024-12-31
32,8,India,Roman Clock and Calendar,Alan Green,Entertainment,0.0,99.0,0,2024-12-31
33,9,India,CandyCall - AI Prank Calls,Converse Labs,Entertainment,4.38,99.0,37,2024-12-31
34,10,India,iSTB,Nihal Ahmed,Entertainment,4.57,1.0,47,2024-12-31
35,11,India,Irusu VR Player - Movie Player,Irusu Technologies Private Limited,Entertainment,2.6,199.0,5,2024-12-31
36,12,India,Universe Splitter,Aerfish LLC,Entertainment,4.22,199.0,18,2024-12-31
37,13,India,DNA Transform!,Joao Gabriel Menezes,Entertainment,4.14,299.0,7,2024-12-31
38,14,India,Cool Themes & Wallpapers,伟巍 杜,Entertainment,5.0,99.0,2,2024-12-31
39,15,India,AR Spiders & Co: Scare friends,Linda Schnetzinger,Entertainment,4.33,299.0,3,2024-12-31
40,16,India,nPlayer,Newin Inc.,Entertainment,4.29,499.0,127,2024-12-31
41,17,India,GSE SMART IPTV PRO,droidvision,Entertainment,2.4,299.0,5,2024-12-31
42,18,India,Sexy Maria,LET Software ApS,Entertainment,2.0,99.0,2,2024-12-31
43,19,India,WebFX,Marc Kerstein,Entertainment,4.53,799.0,15,2024-12-31
44,20,India,Play: Save Videos Watch Later,Loop Apps LTDA,Entertainment,4.33,299.0,6,2024-12-31
45,21,India,Audio Joiner: Merge & Recorder,Lien Hoang,Entertainment,4.67,499.0,15,2024-12-31
46,22,India,Vidi · Media Center,Plata o Plomo AB,Entertainment,3.5,499.0,4,2024-12-31
47,23,India,My Tarot Deck,Jabatoba AB,Entertainment,0.0,499.0,0,2024-12-31
48,24,India,Human Benchmarks - Brain Test,爽 朱,Entertainment,0.0,99.0,0,2024-12-31
49,25,India,AVPlayer,EPLAYWORKS,Entertainment,3.68,299.0,25,2024-12-31
50,1,India,SkyView®,Terminal Eleven LLC,Education,4.56,299.0,129,2024-12-30
51,2,India,Driving Theory Test 4 in 1 Kit,Driving Test Success Limited,Education,4.8,499.0,818,2024-12-30
52,3,India,AnkiMobile Flashcards,Ankitects Pty Ltd,Education,3.98,2.0,125,2024-12-30
53,4,India,StarMap 3D+ Plus,Sanville Software,Education,4.81,299.0,32,2024-12-30
54,5,India,Assyst – testing and exams,Denis Butko,Education,4.63,99.0,51,2024-12-30
55,6,India,Official DVSA Theory Test Kit,TSO (The Stationery Office),Education,4.76,499.0,45,2024-12-30
56,7,India,Official Car/Bike DTT 2024,Prometric,Education,5.0,1.0,2,2024-12-30
57,8,India,GRE Vocabulary Cartoons,Vince Kotchian Test Prep,Education,4.78,299.0,120,2024-12-30
58,9,India,PANTHEON - Official,D'Uva Workshop s.r.l.,Education,0.0,199.0,0,2024-12-30
59,10,India,Kerala PSC Exam Guide,Adhabiya Ebrahim,Education,5.0,99.0,3,2024-12-30
60,11,India,Bubl Draw,tinyworker UG,Education,5.0,299.0,2,2024-12-30
61,12,India,Speed Distance Time Calculator,Danny Connell,Education,5.0,399.0,1,2024-12-30
62,13,India,ACS MyATLS,MyATLS,Education,0.0,999.0,0,2024-12-30
63,14,India,Official DVSA Learning to Drive Kit,TSO (The Stationery Office),Education,0.0,1.0,0,2024-12-30
64,15,India,Me: A Kid's Diary by Tinybop,Tinybop Inc.,Education,5.0,399.0,1,2024-12-30
65,16,India,Official Truck/Bus DTT 2024,Prometric,Education,0.0,1.0,0,2024-12-30
66,17,India,Dasam Granth Sahib,Arvinder Singh,Education,4.18,99.0,17,2024-12-30
67,18,India,Bhajan Mala,"Datta Yoga Center, USA",Education,4.91,399.0,44,2024-12-30
68,19,India,Official Life in the UK Test,TSO (The Stationery Office),Education,0.0,499.0,0,2024-12-30
69,20,India,NZ Driving Theory Test,Leandro Palmieri,Education,4.38,399.0,8,2024-12-30
70,21,India,Math Bingo,Curiosity Media,Education,3.0,299.0,2,2024-12-30
71,22,India,First Words Deluxe,Learning Touch LLC,Education,5.0,499.0,1,2024-12-30
72,23,India,Math Magic,Anusen Inc,Education,5.0,99.0,1,2024-12-30
73,24,India,Chest Compression Fraction CCF,STAR CPR San Diego,Education,1.0,199.0,1,2024-12-30
74,25,India,Stargate ESP Trainer,Russell Targ,Education,0.0,99.0,0,2024-12-30
75,1,India,Driving Theory Test 4 in 1 Kit,Driving Test Success Limited,Education,4.8,499.0,818,2024-12-31
