,Rank,Country,Name,Publisher,Category,Rating,Price,Rating_count,Date
0,1,Bermuda,Youtify + for Spotify Premium,"KISSAPP, S.L.",Entertainment,4.33,1.99,3,2024-12-30
1,2,Bermuda,Pocket God,Bolt Creative,Entertainment,0.0,0.99,0,2024-12-30
2,3,Bermuda,Drinking games 3000+ questions,Charlie Sendrowski,Entertainment,0.0,0.99,0,2024-12-30
3,4,Bermuda,MuvaMoji by Amber Rose,"AppMoji, Inc.",Entertainment,5.0,1.99,1,2024-12-30
4,5,Bermuda,737 Flight Simulator,Justyna Zablocka,Entertainment,0.0,1.99,0,2024-12-30
5,6,Bermuda,Oldify - Old Face App,Apptly LLC,Entertainment,5.0,0.99,1,2024-12-30
6,7,Bermuda,Beardify - Beard Photo Booth,Apptly LLC,Entertainment,0.0,0.99,0,2024-12-30
7,8,Bermuda,Akinator VIP,Elokence,Entertainment,0.0,3.99,0,2024-12-30
8,9,Bermuda,Let's create! Pottery HD,Infinite Dreams Inc.,Entertainment,5.0,4.99,1,2024-12-30
9,10,Bermuda,GSE SMART IPTV PRO,droidvision,Entertainment,1.0,2.99,1,2024-12-30
10,11,Bermuda,"Baby Maker - See Your Future Child, Mix Mom & Dad Faces, and Make Beautiful Babies",Toto Ventures Inc.,Entertainment,0.0,3.99,0,2024-12-30
11,12,Bermuda,Hue Disco,iMakeStuff,Entertainment,0.0,4.99,0,2024-12-30
12,13,Bermuda,Decide Now! — Random Wheel,Catforce Studio,Entertainment,0.0,1.99,0,2024-12-30
13,14,Bermuda,AVPlayer,EPLAYWORKS,Entertainment,0.0,2.99,0,2024-12-30
14,15,Bermuda,"Popcorn - Movies, TV Series",Danilo Oliveira,Entertainment,0.0,3.99,0,2024-12-30
15,16,Bermuda,Baby Ultrasound spoof,Gagandeep Singh Madan,Entertainment,0.0,0.99,0,2024-12-30
16,17,Bermuda,StalkerTV,Infomir,Entertainment,0.0,29.99,0,2024-12-30
17,18,Bermuda,Magic Spider - My Pet Boris,Ian Pidgeon,Entertainment,0.0,2.99,0,2024-12-30
18,19,Bermuda,Black Light Vision,CobbySoft Media Inc.,Entertainment,0.0,4.99,0,2024-12-30
19,20,Bermuda,Laser Lights,PDJ Apps,Entertainment,0.0,0.99,0,2024-12-30
20,21,Bermuda,VLC Streamer Pro,Hobbyist Software Limited,Entertainment,5.0,7.99,1,2024-12-30
21,22,Bermuda,Little Kitten My Pet Kitty Cat,Squeakosaurus ug & co. kg,Entertainment,0.0,5.99,0,2024-12-30
22,23,Bermuda,iComics,XD Digital Pty Ltd,Entertainment,0.0,0.99,0,2024-12-30
