,Rank,Country,Name,Publisher,Category,Rating,Price,Rating_count,Date
0,1,Dominican Republic,LaCuerda [PRO],NARROI WEBS SC,Entertainment,5.0,2.99,1,2024-12-30
1,2,Dominican Republic,GSE SMART IPTV PRO,droidvision,Entertainment,5.0,2.99,1,2024-12-30
2,3,Dominican Republic,Tap to Flash,mayabella s.r.o.,Entertainment,0.0,4.99,0,2024-12-30
3,4,Dominican Republic,La Hora De Tu Muerte,Ryan Boyling,Entertainment,2.89,0.99,117,2024-12-30
4,5,Dominican Republic,Akinator VIP,Elokence,Entertainment,4.25,3.99,4,2024-12-30
5,6,Dominican Republic,Youtify + for Spotify Premium,"KISSAPP, S.L.",Entertainment,4.56,1.99,16,2024-12-30
6,7,Dominican Republic,Pocket God,Bolt Creative,Entertainment,5.0,0.99,2,2024-12-30
7,8,Dominican Republic,737 Flight Simulator,Justyna Zablocka,Entertainment,1.0,1.99,1,2024-12-30
8,9,Dominican Republic,Alien10,Saddiq Rahim,Entertainment,0.0,1.99,0,2024-12-30
9,10,Dominican Republic,Baldify - Go Bald,Apptly LLC,Entertainment,4.0,0.99,3,2024-12-30
10,11,Dominican Republic,1500 Tonos Unlimited - Best iPhone Ringtones,Mobgen Apps Inc,Entertainment,4.0,0.99,1,2024-12-30
11,12,Dominican Republic,Oldify - Old Face App,Apptly LLC,Entertainment,5.0,0.99,1,2024-12-30
12,13,Dominican Republic,OPlayer - video player,"Suzhou Totoro Network Technology Co., Ltd.",Entertainment,5.0,2.99,3,2024-12-30
13,14,Dominican Republic,AVPlayer,EPLAYWORKS,Entertainment,5.0,2.99,2,2024-12-30
14,15,Dominican Republic,Emoji Keyboard PRO,"KISSAPP, S.L.",Entertainment,0.0,2.99,0,2024-12-30
15,16,Dominican Republic,Transforma WhatsApp,Jan-Niklas FREUNDT,Entertainment,0.0,0.99,0,2024-12-30
16,17,Dominican Republic,VLC Remote Pro!,Hobbyist Software Limited,Entertainment,4.2,19.99,5,2024-12-30
17,18,Dominican Republic,Fish Fingers! 3D Interactive Aquarium,Useless Creations Pty Ltd,Entertainment,2.0,0.99,3,2024-12-30
18,19,Dominican Republic,VLC Streamer Pro,Hobbyist Software Limited,Entertainment,5.0,7.99,1,2024-12-30
19,20,Dominican Republic,Decide Now!,Catforce Studio,Entertainment,0.0,1.99,0,2024-12-30
20,21,Dominican Republic,Toca Hair Salon Me,Toca Boca AB,Entertainment,5.0,4.99,1,2024-12-30
21,22,Dominican Republic,Beardify - Beard Photo Booth,Apptly LLC,Entertainment,5.0,0.99,1,2024-12-30
22,23,Dominican Republic,"ToneCreator Pro - Create text tones, ringtones, and alert tones!",Mobgen Apps Inc,Entertainment,1.0,1.99,1,2024-12-30
23,24,Dominican Republic,Tonos de alerta personalizados,Mobgen Apps Inc,Entertainment,0.0,0.99,0,2024-12-30
24,25,Dominican Republic,Baseball Speed Radar Gun Pro,CobbySoft Media Inc.,Entertainment,0.0,1.99,0,2024-12-30
25,1,Dominican Republic,LaCuerda [PRO],NARROI WEBS SC,Entertainment,5.0,2.99,1,2024-12-31
26,2,Dominican Republic,GSE SMART IPTV PRO,droidvision,Entertainment,5.0,2.99,1,2024-12-31
27,3,Dominican Republic,Tap to Flash,mayabella s.r.o.,Entertainment,0.0,4.99,0,2024-12-31
28,4,Dominican Republic,La Hora De Tu Muerte,Ryan Boyling,Entertainment,2.89,0.99,117,2024-12-31
29,5,Dominican Republic,Akinator VIP,Elokence,Entertainment,4.25,3.99,4,2024-12-31
30,6,Dominican Republic,Youtify + for Spotify Premium,"KISSAPP, S.L.",Entertainment,4.56,1.99,16,2024-12-31
31,7,Dominican Republic,Pocket God,Bolt Creative,Entertainment,5.0,0.99,2,2024-12-31
32,8,Dominican Republic,737 Flight Simulator,Justyna Zablocka,Entertainment,1.0,1.99,1,2024-12-31
33,9,Dominican Republic,Baldify - Go Bald,Apptly LLC,Entertainment,4.0,0.99,3,2024-12-31
34,10,Dominican Republic,Alien10,Saddiq Rahim,Entertainment,0.0,1.99,0,2024-12-31
35,11,Dominican Republic,1500 Tonos Unlimited - Best iPhone Ringtones,Mobgen Apps Inc,Entertainment,4.0,0.99,1,2024-12-31
