,Rank,Country,Name,Publisher,Category,Rating,Price,Rating_count,Date
59,10,Russia,Аудирование - Английский язык,Axidep LLC,Education,4.81,199.0,251,2024-12-30
60,11,Russia,Энциклопедия Мышки,Circus Atos,Education,4.72,449.0,232,2024-12-30
61,12,Russia,"Мир Людей для Малышей, игра 1+",CLEVERBIT LTD,Education,4.2,349.0,1094,2024-12-30
62,13,Russia,Кроссворды для детей,Lyubov Zhivova,Education,4.57,199.0,273,2024-12-30
63,14,Russia,Official DVSA Theory Test Kit,TSO (The Stationery Office),Education,3.67,449.0,3,2024-12-30
64,15,Russia,ВСПЫШ И ЧУДО-МАШИНКИ.,Nickelodeon,Education,3.11,349.0,9,2024-12-30
65,16,Russia,БЖС Дельта тест 2025,Andrey Andreyev,Education,4.67,249.0,3,2024-12-30
66,17,Russia,Детский сад Dr. Panda,Dr. Panda Ltd,Education,4.51,349.0,39,2024-12-30
67,18,Russia,Учим цифры весело!,ARAMAIS AYRAPETYAN,Education,4.28,249.0,1481,2024-12-30
68,19,Russia,Азбука со зверятами! Играем и учим буквы и цифры,"DOG&FROG Educational preschool kids games for girls and boys, toddlers and babies",Education,4.45,249.0,115,2024-12-30
69,20,Russia,дом на дереве Dr. Panda и Toto,Dr. Panda Ltd,Education,4.25,349.0,24,2024-12-30
70,21,Russia,Больница Dr. Panda,Dr. Panda Ltd,Education,4.92,349.0,12,2024-12-30
71,22,Russia,Учим цвета весело!,ARAMAIS AYRAPETYAN,Education,4.25,199.0,1097,2024-12-30
72,23,Russia,Star Rover - Stargazing Guide,寒飞 易,Education,4.66,199.0,35,2024-12-30
73,24,Russia,Русско <> Азербайджанский Словарь,Andrey Fetisov,Education,3.67,99.0,3,2024-12-30
74,25,Russia,Дельта тест: Танкеры Химовозы,Andrey Andreyev,Education,4.5,199.0,4,2024-12-30
75,1,Russia,Английский за 24 дня,Sunspear Software LLC,Education,4.22,15.0,41,2024-12-31
76,2,Russia,AnkiMobile Flashcards,Ankitects Pty Ltd,Education,4.32,2.0,168,2024-12-31
77,3,Russia,Ассистент – тестирование,Denis Butko,Education,4.59,99.0,457,2024-12-31
78,4,Russia,Полиглот 32 - Английский язык,Axidep LLC,Education,3.98,199.0,247,2024-12-31
79,5,Russia,Полиглот - Английский язык,Axidep LLC,Education,4.84,99.0,5612,2024-12-31
80,6,Russia,Star Walk 2 - Звезды на небе,Vito Technology Inc.,Education,4.84,249.0,3243,2024-12-31
81,7,Russia,Учим буквы весело!,ARAMAIS AYRAPETYAN,Education,4.39,349.0,6356,2024-12-31
82,8,Russia,Аудирование - Английский язык,Axidep LLC,Education,4.81,199.0,251,2024-12-31
83,9,Russia,Кроссворды для детей,Lyubov Zhivova,Education,4.57,199.0,273,2024-12-31
84,10,Russia,SkyView®,Terminal Eleven LLC,Education,4.44,249.0,54,2024-12-31
85,11,Russia,Составь слова!,Viacheslav Fonderkin,Education,2.13,249.0,32,2024-12-31
86,12,Russia,Астрономия и звездное небо: Энциклопедия космоса,Vito Technology Inc.,Education,4.5,449.0,8,2024-12-31
87,13,Russia,Movie Adventure – Киностудия,Fox and Sheep GmbH,Education,4.53,349.0,75,2024-12-31
88,14,Russia,Электробезопасность тесты 2025,Andrey Andreyev,Education,4.61,249.0,539,2024-12-31
89,15,Russia,Урок Слов,Alexander Kondrashov,Education,4.01,249.0,105,2024-12-31
90,16,Russia,"Малыш учит Животных, полная",CLEVERBIT LTD,Education,4.14,349.0,1292,2024-12-31
91,17,Russia,Toca Hair Salon 3,Toca Boca AB,Education,4.16,449.0,95,2024-12-31
